model,n,latency_s,ram_mb,first_pass_valid,final_valid,repaired,words,grammar_err_per_100w,gulpease,repetition_3gram,faithfulness,quality,coherence
gemma3:4b,19,69.55,4311.4,1,0.95,0,266.17,1.98,47.07,0.05,4.17,4.72,4.94
qwen2.5:7b,19,74.97,4924.2,0.95,0.95,0,289.83,2.15,45.1,0.06,4,4.78,4.89
