model,n,latency_s,ram_mb,first_pass_valid,final_valid,repaired,proofread,words,grammar_err_per_100w,gulpease,repetition_3gram,faithfulness,quality,coherence
anthropic/claude-opus-4.8,19,32.13,,1,1,0,1,293.84,0.99,47.76,0.05,5,4.42,5
google/gemini-3.1-pro-preview,19,134.27,,1,0.95,0,0.84,489.83,1.14,42.48,0.03,4.94,5,5
